Posicao;TIPO;Estado;VrCausa;Procedencia;tempo;VrPago
Réu;Cível Seguros;GO;117509.23;ACORDO;28;19562.39
Réu;Cível Seguros;MA;2072684.13;ACORDO;138;2706180.4
Réu;Cível Seguros;MG;999.3;ACORDO;0;
Réu;Cível Seguros;MG;552674.3;ACORDO;12;102046.41
Réu;Cível Seguros;MG;142114.68;ACORDO;18;
Réu;Cível Seguros;MG;156868.69;ACORDO;8;124457.36
Réu;Cível Seguros;MG;699765.14;ACORDO;13;61153.53
Réu;Cível Seguros;MG;291790.1;ACORDO;22;27633.57
Réu;Cível Seguros;MG;255689.23;ACORDO;28;294105.98
Réu;Cível Seguros;MG;162320.34;ACORDO;83;99929.83
Réu;Cível Seguros;MG;439289.87;ACORDO;19;100537.28
Réu;Cível Seguros;MG;755999.22;ACORDO;23;452082.08
Réu;Cível Seguros;MG;392199.52;ACORDO;20;316244.12
Réu;Cível Seguros;MG;1714.97;ACORDO;16;519262.46
Réu;Cível Seguros;MG;117763.35;ACORDO;52;17800.38
Réu;Cível Seguros;MG;211779.07;ACORDO;68;82031.26
Réu;Cível Seguros;MG;496487.24;ACORDO;8;93951.43
Réu;Cível Seguros;MG;107949.34;ACORDO;3;
Réu;Cível Seguros;MG;1292768.8;ACORDO;0;23021.57
Réu;Cível Seguros;MG;1278732.09;ACORDO;88;380935.6
Réu;Cível Seguros;MG;8959.26;ACORDO;78;46304.26
Réu;Cível Seguros;MG;180.51;ACORDO;196;146074.24
Réu;Cível Seguros;MG;85805.29;ACORDO;5;8515.2
Réu;Cível Seguros;MG;2044.02;ACORDO;1;873.86
Réu;Cível Seguros;MG;2761.03;ACORDO;7;9000.35
Réu;Cível Seguros;MG;24417.88;ACORDO;52;14124.95
Réu;Cível Seguros;MG;238695.66;ACORDO;16;13564.25
Réu;Cível Seguros;MG;456912.15;ACORDO;66;264446.74
Réu;Cível Seguros;MG;1440435.8;ACORDO;35;156610.59
Réu;Cível Seguros;MS;2698166.4;ACORDO;30;90163
Réu;Cível Seguros;MT;23280.45;ACORDO;;
Réu;Cível Seguros;MT;159166.9;ACORDO;;
Réu;Cível Seguros;MT;931013.98;ACORDO;52;
Réu;Cível Seguros;MT;2747307.47;ACORDO;26;66586.02
Réu;Cível Seguros;MT;3261496.81;ACORDO;110;
Réu;Cível Seguros;MT;18133.57;ACORDO;;
Réu;Cível Seguros;MT;1145.64;ACORDO;;
Réu;Cível Seguros;MT;10698025.82;ACORDO;90;6546898.8
Réu;Cível Seguros;MT;390834.92;ACORDO;27;138514.58
Réu;Cível Seguros;MT;152198.35;ACORDO;;
Réu;Cível Seguros;PA;895926.11;ACORDO;64;567702.06
Réu;Cível Seguros;PA;77407.7;ACORDO;;
Réu;Cível Seguros;PA;2539591.96;ACORDO;67;789545.65
Réu;Cível Seguros;PA;86860.71;ACORDO;;
Réu;Cível Seguros;PA;27959.14;ACORDO;;
Réu;Cível Seguros;PB;73997.74;ACORDO;4;
Réu;Cível Seguros;PB;56585.42;ACORDO;33;66625.93
Réu;Cível Seguros;PB;248.92;ACORDO;;
Réu;Cível Seguros;PE;20.71;ACORDO;;
Réu;Cível Seguros;PE;31765.91;ACORDO;;
Réu;Cível Seguros;PE;33530.68;ACORDO;;
Réu;Cível Seguros;PE;78910.29;ACORDO;;
Réu;Cível Seguros;PE;712521.02;ACORDO;;
Réu;Cível Seguros;PI;44025.38;ACORDO;;
Réu;Cível Seguros;PR;1138180.15;ACORDO;7;60768.79
Réu;Cível Seguros;PR;80.71;ACORDO;;
Réu;Cível Seguros;PR;132886.02;ACORDO;;
Réu;Cível Seguros;PR;337475.85;ACORDO;17;134900.2
Réu;Cível Seguros;PR;219041.33;ACORDO;9;71625.98
Réu;Cível Seguros;PR;7222.18;ACORDO;;
Réu;Cível Seguros;PR;73669.03;ACORDO;28;
Réu;Cível Seguros;PR;20626.84;ACORDO;;
Réu;Cível Seguros;PR;2218284.94;ACORDO;8;2198.33
Réu;Cível Seguros;PR;1584459.7;ACORDO;23;999872.53
Réu;Cível Seguros;PR;428369.81;ACORDO;12;46689.69
Réu;Cível Seguros;PR;25855.11;ACORDO;6;9567.16
Réu;Cível Seguros;PR;7814.18;ACORDO;;
Réu;Cível Seguros;PR;263786.13;ACORDO;40;186875.64
Réu;Cível Seguros;PR;641050.98;ACORDO;30;436187.16
Réu;Cível Seguros;PR;0.01;ACORDO;;
Réu;Cível Seguros;PR;31412.33;ACORDO;39;34173.17
Réu;Cível Seguros;PR;285002.43;ACORDO;43;253675.34
Réu;Cível Seguros;PR;66263;ACORDO;;
Réu;Cível Seguros;PR;269197.18;ACORDO;;
Réu;Cível Seguros;PR;145664.45;ACORDO;6;131640.67
Réu;Cível Seguros;PR;632651.67;ACORDO;17;395989.26
Réu;Cível Seguros;PR;1616299.96;ACORDO;22;410424.98
Réu;Cível Seguros;PR;49281936.44;ACORDO;38;2919.14
Réu;Cível Seguros;PR;17333.75;ACORDO;;
Réu;Cível Seguros;PR;62329.92;ACORDO;;
Réu;Cível Seguros;PR;16422.1;ACORDO;;
Réu;Cível Seguros;PR;99800494.16;ACORDO;12;9374469.35
Réu;Cível Seguros;PR;18031.64;ACORDO;;
Réu;Cível Seguros;PR;932612.21;ACORDO;18;814297.63
Réu;Cível Seguros;PR;7022.78;ACORDO;6;6692.76
Réu;Cível Seguros;PR;230821.84;ACORDO;76;219971.23
Réu;Cível Seguros;PR;5273.32;ACORDO;5;3773.88
Réu;Cível Seguros;PR;2526171.53;ACORDO;47;
Réu;Cível Seguros;PR;5625612.55;ACORDO;54;
Réu;Cível Seguros;PR;49700.92;ACORDO;;
Réu;Cível Seguros;PR;358200.07;ACORDO;15;100537.28
Réu;Cível Seguros;PR;54703.48;ACORDO;;
Réu;Cível Seguros;RJ;;ACORDO;;
Réu;Cível Seguros;RJ;43753.06;ACORDO;;
Réu;Cível Seguros;RJ;7555.58;ACORDO;;
Réu;Cível Seguros;RJ;;ACORDO;;
Réu;Cível Seguros;RJ;2510518.63;ACORDO;53;86182.12
Réu;Cível Seguros;RJ;646.46;ACORDO;;
Réu;Cível Seguros;RJ;142579.5;ACORDO;;
Réu;Cível Seguros;RJ;4363.79;ACORDO;;
Réu;Cível Seguros;RJ;3996.94;ACORDO;1;2904.66
Réu;Cível Seguros;RJ;6385.92;ACORDO;123;187504.14
Réu;Cível Seguros;RJ;3116895.34;ACORDO;;
Réu;Cível Seguros;RJ;2403.43;ACORDO;;
Réu;Cível Seguros;RJ;0;ACORDO;;
Réu;Cível Seguros;RJ;4412548.26;ACORDO;34;
Réu;Cível Seguros;RJ;197243.17;ACORDO;28;48253.9
Réu;Cível Seguros;RJ;21290.4;ACORDO;38;14374.73
Réu;Cível Seguros;RJ;443402.66;ACORDO;32;6872.57
Réu;Cível Seguros;RJ;5959.58;ACORDO;37;155364.93
Réu;Cível Seguros;RJ;11706.18;ACORDO;0;
Réu;Cível Seguros;RJ;1146.02;ACORDO;85;18723.98
Réu;Cível Seguros;RJ;167.35;ACORDO;;
Réu;Cível Seguros;RJ;300935.31;ACORDO;7;246732.22
Réu;Cível Seguros;RJ;5730.1;ACORDO;20;62052.26
Réu;Cível Seguros;RJ;1122127.81;ACORDO;169;
Réu;Cível Seguros;RJ;113.33;ACORDO;41;27419.47
Réu;Cível Seguros;RJ;400.1;ACORDO;;
Réu;Cível Seguros;RJ;613.8;ACORDO;64;185076.13
Réu;Cível Seguros;RJ;439136.17;ACORDO;23;171961.34
Réu;Cível Seguros;RJ;91669.61;ACORDO;62;869572.71
Réu;Cível Seguros;RJ;36733897.5;ACORDO;51;17693067.41
Réu;Cível Seguros;RJ;10636.84;ACORDO;2;147931.94
Réu;Cível Seguros;RJ;10636.84;ACORDO;4;91841.76
Réu;Cível Seguros;RJ;144668.25;ACORDO;95;86182.12
Réu;Cível Seguros;RJ;2423.03;ACORDO;;
Réu;Cível Seguros;RJ;181719.86;ACORDO;;
Réu;Cível Seguros;RJ;877896.67;ACORDO;47;844144.7
Réu;Cível Seguros;RJ;387869.54;ACORDO;46;65936.2
Réu;Cível Seguros;RJ;162.58;ACORDO;;
Réu;Cível Seguros;RJ;3181.37;ACORDO;0;
Réu;Cível Seguros;RJ;231856.97;ACORDO;34;2154698.8
Réu;Cível Seguros;RJ;1310.49;ACORDO;68;125669.57
Réu;Cível Seguros;RJ;1330.79;ACORDO;77;8496.93
Réu;Cível Seguros;RJ;28982.99;ACORDO;;
Réu;Cível Seguros;RJ;17107.04;ACORDO;;
Réu;Cível Seguros;RJ;2702398.52;ACORDO;4;9358421.79
Réu;Cível Seguros;RJ;28190.95;ACORDO;3;22747.65
Réu;Cível Seguros;RJ;2.22;ACORDO;;
Réu;Cível Seguros;RJ;1163410.9;ACORDO;131;99271.89
Réu;Cível Seguros;RJ;147.17;ACORDO;7;17121.31
Réu;Cível Seguros;RJ;76.49;ACORDO;1;24193.16
Réu;Cível Seguros;RJ;134.45;ACORDO;6;8932.86
Réu;Cível Seguros;RJ;11847.12;ACORDO;;
Réu;Cível Seguros;RJ;8044.58;ACORDO;40;248650.95
Réu;Cível Seguros;RJ;146739.05;ACORDO;;
Réu;Cível Seguros;RJ;22040.34;ACORDO;;
Réu;Cível Seguros;RJ;3412.77;ACORDO;53;77663.66
Réu;Cível Seguros;RJ;2845540.84;ACORDO;69;1892212.66
Réu;Cível Seguros;RJ;7610.68;ACORDO;8;5953.25
Réu;Cível Seguros;RJ;16.66;ACORDO;;
Réu;Cível Seguros;RJ;18337.42;ACORDO;;
Réu;Cível Seguros;RJ;828240.13;ACORDO;37;
Réu;Cível Seguros;RJ;517.36;ACORDO;;
Réu;Cível Seguros;RJ;5.69;ACORDO;;
Réu;Cível Seguros;RJ;388019.36;ACORDO;25;225021.04
Réu;Cível Seguros;RJ;11531647.83;ACORDO;4;12947347.07
Réu;Cível Seguros;RJ;9691.92;ACORDO;105;
Réu;Cível Seguros;RJ;161674.73;ACORDO;13;1373641.78
Réu;Cível Seguros;RJ;1293.33;ACORDO;;
Réu;Cível Seguros;RJ;146187.55;ACORDO;31;39635.78
Réu;Cível Seguros;RJ;536650.66;ACORDO;9;378919.52
Réu;Cível Seguros;RN;5543.36;ACORDO;148;19742.14
Réu;Cível Seguros;RO;209496.75;ACORDO;;
Réu;Cível Seguros;RO;430190.3;ACORDO;153;91209.85
Réu;Cível Seguros;RO;420032.27;ACORDO;39;109101.22
Réu;Cível Seguros;RO;422662.69;ACORDO;32;80684.99
Réu;Cível Seguros;RO;399974.08;ACORDO;;
Réu;Cível Seguros;RO;129546.26;ACORDO;;
Réu;Cível Seguros;RO;809664.13;ACORDO;120;2064956.1
Réu;Cível Seguros;RS;354585.45;ACORDO;;
Réu;Cível Seguros;RS;41616.26;ACORDO;23;
Réu;Cível Seguros;RS;18714.79;ACORDO;12;14384.65
Réu;Cível Seguros;RS;54623.22;ACORDO;52;64501.97
Réu;Cível Seguros;RS;1607014.67;ACORDO;61;
Réu;Cível Seguros;RS;53213.9;ACORDO;28;50267.83
Réu;Cível Seguros;RS;7675.72;ACORDO;;
Réu;Cível Seguros;RS;50389.99;ACORDO;58;72635.65
Réu;Cível Seguros;RS;368925.23;ACORDO;127;741711.46
Réu;Cível Seguros;RS;790821.06;ACORDO;26;532520.95
Réu;Cível Seguros;RS;656247.57;ACORDO;11;257083.54
Réu;Cível Seguros;RS;1476.46;ACORDO;;
Réu;Cível Seguros;RS;1325912.23;ACORDO;64;497821.99
Réu;Cível Seguros;RS;40356.75;ACORDO;71;78283.2
Réu;Cível Seguros;RS;735128.66;ACORDO;22;181729.24
Réu;Cível Seguros;RS;155687.15;ACORDO;3;36559.29
Réu;Cível Seguros;RS;78440.18;ACORDO;8;36559.29
Réu;Cível Seguros;RS;139009.52;ACORDO;19;147885.66
Réu;Cível Seguros;RS;173322.13;ACORDO;;
Réu;Cível Seguros;RS;5006.67;ACORDO;;
Réu;Cível Seguros;RS;950.51;ACORDO;27;145383.4
Réu;Cível Seguros;RS;204776.01;ACORDO;18;84862.45
Réu;Cível Seguros;RS;983.58;ACORDO;41;188868.03
Réu;Cível Seguros;RS;409220.05;ACORDO;108;596584.84
Réu;Cível Seguros;RS;118162.84;ACORDO;50;118268.1
Réu;Cível Seguros;RS;1880443.36;ACORDO;16;
Réu;Cível Seguros;RS;25819.2;ACORDO;18;16062.62
Réu;Cível Seguros;RS;6611702.4;ACORDO;129;138080.14
Réu;Cível Seguros;RS;25585.72;ACORDO;28;18032.6
Réu;Cível Seguros;RS;0;ACORDO;;
Réu;Cível Seguros;RS;3248.22;ACORDO;73;6520.8
Réu;Cível Seguros;RS;5967.09;ACORDO;;
Réu;Cível Seguros;RS;45658.33;ACORDO;31;72899.39
Réu;Cível Seguros;RS;0;ACORDO;;
Réu;Cível Seguros;RS;14542.2;ACORDO;73;152907.68
Réu;Cível Seguros;RS;4161.63;ACORDO;32;4310.28
Réu;Cível Seguros;RS;10299.92;ACORDO;50;375.94
Réu;Cível Seguros;RS;1973.78;ACORDO;;
Réu;Cível Seguros;RS;1.22;ACORDO;;
Réu;Cível Seguros;RS;3146473.19;ACORDO;9;237814.67
Réu;Cível Seguros;RS;116643.86;ACORDO;30;14664.93
Réu;Cível Seguros;RS;37378.44;ACORDO;9;17750.7
Réu;Cível Seguros;RS;1479.21;ACORDO;1;1239.34
Réu;Cível Seguros;SC;62222.24;ACORDO;;
Réu;Cível Seguros;SC;1585431.16;ACORDO;13;83308.88
Réu;Cível Seguros;SC;8143.7;ACORDO;;
Réu;Cível Seguros;SC;9770365.93;ACORDO;33;17987369.38
Réu;Cível Seguros;SC;228940.3;ACORDO;;
Réu;Cível Seguros;SC;5807.48;ACORDO;25;15854.31
Réu;Cível Seguros;SC;8878.49;ACORDO;81;9208.63
Réu;Cível Seguros;SC;1826670.03;ACORDO;;
Réu;Cível Seguros;SC;168216.59;ACORDO;23;3461311.54
Réu;Cível Seguros;SC;1498672.75;ACORDO;64;11498168.13
Réu;Cível Seguros;SC;11725.11;ACORDO;44;27233.02
Réu;Cível Seguros;SC;9051.01;ACORDO;54;150989.69
Réu;Cível Seguros;SC;1860.7;ACORDO;63;11297.15
Réu;Cível Seguros;SC;0;ACORDO;;
Réu;Cível Seguros;SC;451029.64;ACORDO;81;
Réu;Cível Seguros;SC;6875269.86;ACORDO;30;4091039.57
Réu;Cível Seguros;SC;16636.64;ACORDO;;
Réu;Cível Seguros;SC;9782.38;ACORDO;;
Réu;Cível Seguros;SC;1510.76;ACORDO;;
Réu;Cível Seguros;SC;1191466.2;ACORDO;101;109437.7
Réu;Cível Seguros;SC;5569820.24;ACORDO;31;10665556.16
Réu;Cível Seguros;SC;242253.36;ACORDO;20;773447.44
Réu;Cível Seguros;SC;5214.09;ACORDO;50;29117.86
Réu;Cível Seguros;SC;1221295.74;ACORDO;;
Réu;Cível Seguros;SC;25201.49;ACORDO;;
Réu;Cível Seguros;SC;3977658.67;ACORDO;57;14596676.51
Réu;Cível Seguros;SC;1037736.42;ACORDO;28;3013633.77
Réu;Cível Seguros;SC;2561138.51;ACORDO;32;152543.15
Réu;Cível Seguros;SC;2810.48;ACORDO;;
Réu;Cível Seguros;SC;3669312.56;ACORDO;16;3637866.71
Réu;Cível Seguros;SC;25081.27;ACORDO;;
Réu;Cível Seguros;SC;198049.95;ACORDO;;
Réu;Cível Seguros;SC;2137.79;ACORDO;;
Réu;Cível Seguros;SC;481601.35;ACORDO;76;334820.38
Réu;Cível Seguros;SC;3977658.67;ACORDO;57;3663181.06
Réu;Cível Seguros;SC;125140.38;ACORDO;;
Réu;Cível Seguros;SC;1791581.41;ACORDO;15;187001.01
Réu;Cível Seguros;SC;5569820.24;ACORDO;;
Réu;Cível Seguros;SC;1666177.65;ACORDO;10;
Réu;Cível Seguros;SC;63368385.48;ACORDO;12;1976179.06
Réu;Cível Seguros;SC;1273761.53;ACORDO;4;31903.41
Réu;Cível Seguros;SC;155555.6;ACORDO;37;
Réu;Cível Seguros;SC;0.03;ACORDO;;
Réu;Cível Seguros;SC;640512.93;ACORDO;;
Réu;Cível Seguros;SC;108947.63;ACORDO;;
Réu;Cível Seguros;SC;62.61;ACORDO;;
Réu;Cível Seguros;SC;10723.66;ACORDO;41;12461.41
Réu;Cível Seguros;SC;35077.81;ACORDO;;
Réu;Cível Seguros;SC;1354908.27;ACORDO;16;140625.02
Réu;Cível Seguros;SE;19215.39;ACORDO;;
Réu;Cível Seguros;SE;29825.93;ACORDO;;
Réu;Cível Seguros;SP;128278.41;ACORDO;23;78541.26
Réu;Cível Seguros;SP;83091.51;ACORDO;21;
Réu;Cível Seguros;SP;1116.77;ACORDO;;
Réu;Cível Seguros;SP;31896.86;ACORDO;;
Réu;Cível Seguros;SP;1986.27;ACORDO;;
Réu;Cível Seguros;SP;8568.12;ACORDO;;
Réu;Cível Seguros;SP;594.68;ACORDO;;
Réu;Cível Seguros;SP;407.21;ACORDO;43;16944.16
Réu;Cível Seguros;SP;58830.06;ACORDO;56;17355.87
Réu;Cível Seguros;SP;114307.02;ACORDO;;
Réu;Cível Seguros;SP;15578.1;ACORDO;;
Réu;Cível Seguros;SP;0.05;ACORDO;;
Réu;Cível Seguros;SP;103774.38;ACORDO;;
Réu;Cível Seguros;SP;23449.72;ACORDO;;
Réu;Cível Seguros;SP;28096.09;ACORDO;96;77879.73
Réu;Cível Seguros;SP;19875.83;ACORDO;;
Réu;Cível Seguros;SP;34778.81;ACORDO;;
Réu;Cível Seguros;SP;1192.55;ACORDO;;
Réu;Cível Seguros;SP;5816406.01;ACORDO;12;355045.23
Réu;Cível Seguros;SP;561879.69;ACORDO;;
Réu;Cível Seguros;SP;1433984.69;ACORDO;134;299184.78
Réu;Cível Seguros;SP;5502456.28;ACORDO;52;41042.5
Réu;Cível Seguros;SP;1661830.29;ACORDO;29;510937.43
Réu;Cível Seguros;SP;955.32;ACORDO;;
Réu;Cível Seguros;SP;165196.33;ACORDO;;
Réu;Cível Seguros;SP;14418.34;ACORDO;;
Réu;Cível Seguros;SP;9103846.09;ACORDO;30;5703031.38
Réu;Cível Seguros;SP;11444.85;ACORDO;;
Réu;Cível Seguros;SP;76129.73;ACORDO;;
Réu;Cível Seguros;SP;81550.18;ACORDO;73;5333.4
Réu;Cível Seguros;SP;1153.05;ACORDO;;
Réu;Cível Seguros;SP;196598.38;ACORDO;8;45322.76
Réu;Cível Seguros;SP;1167.57;ACORDO;;
Réu;Cível Seguros;SP;667227.12;ACORDO;41;555216.08
Réu;Cível Seguros;SP;2039227.6;ACORDO;9;92700.69
Réu;Cível Seguros;SP;589.5;ACORDO;;
Réu;Cível Seguros;SP;864619.49;ACORDO;46;720141
Réu;Cível Seguros;SP;1055636.06;ACORDO;;
Réu;Cível Seguros;SP;31638.54;ACORDO;78;93864.09
Réu;Cível Seguros;SP;191.56;ACORDO;;
Réu;Cível Seguros;SP;95.78;ACORDO;78;31048.93
Réu;Cível Seguros;SP;3976.9;ACORDO;;
Réu;Cível Seguros;SP;97730.83;ACORDO;18;2875.63
Réu;Cível Seguros;SP;10849.95;ACORDO;;
Réu;Cível Seguros;SP;195936.61;ACORDO;103;3484628.78
Réu;Cível Seguros;SP;326862.97;ACORDO;;
Réu;Cível Seguros;SP;514.63;ACORDO;;
Réu;Cível Seguros;SP;29927.62;ACORDO;11;13040.52
Réu;Cível Seguros;SP;177304.94;ACORDO;24;142000.22
Réu;Cível Seguros;SP;402460.11;ACORDO;37;
Réu;Cível Seguros;SP;822605.99;ACORDO;43;1246938.11
Réu;Cível Seguros;SP;82594.04;ACORDO;4;
Réu;Cível Seguros;SP;843124.48;ACORDO;17;116328.23
Réu;Cível Seguros;SP;3323660.58;ACORDO;41;5486909.92
Réu;Cível Seguros;SP;197421.32;ACORDO;8;72982.65
Réu;Cível Seguros;SP;112638.21;ACORDO;;
Réu;Cível Seguros;SP;161843.8;ACORDO;0;
Réu;Cível Seguros;SP;;ACORDO;;
Réu;Cível Seguros;SP;124637.27;ACORDO;;
Réu;Cível Seguros;SP;83091.51;ACORDO;43;2304489.12
Réu;Cível Seguros;SP;2001.6;ACORDO;59;497837.53
Réu;Cível Seguros;SP;137172.47;ACORDO;;
Réu;Cível Seguros;SP;285068.31;ACORDO;88;624811.29
Réu;Cível Seguros;SP;692387.6;ACORDO;;
Réu;Cível Seguros;SP;12141.53;ACORDO;42;905.52
Réu;Cível Seguros;SP;762571.9;ACORDO;42;9592.55
Réu;Cível Seguros;SP;338.53;ACORDO;;
Réu;Cível Seguros;SP;9070.66;ACORDO;106;3954.93
Réu;Cível Seguros;SP;3234.05;ACORDO;;
Réu;Cível Seguros;SP;105103.47;ACORDO;39;35974.61
Réu;Cível Seguros;SP;998.08;ACORDO;;
Réu;Cível Seguros;SP;;ACORDO;0;
Réu;Cível Seguros;SP;1817.29;ACORDO;;
Réu;Cível Seguros;SP;723.33;ACORDO;;
Réu;Cível Seguros;SP;749802.48;ACORDO;25;
Réu;Cível Seguros;SP;2941502.86;ACORDO;54;321475.63
Réu;Cível Seguros;SP;249535.8;ACORDO;;
Réu;Cível Seguros;SP;32669.14;ACORDO;;
Réu;Cível Seguros;SP;320609.79;ACORDO;;
Réu;Cível Seguros;SP;41184.37;ACORDO;88;767571.57
Réu;Cível Seguros;SP;10048494.28;ACORDO;49;9379658.36
Réu;Cível Seguros;SP;3171641.77;ACORDO;15;3081889.41
Réu;Cível Seguros;SP;87586.22;ACORDO;10;85077.25
Réu;Cível Seguros;SP;58830.06;ACORDO;50;18667.65
Réu;Cível Seguros;SP;62583703.22;ACORDO;195;36328130.42
Réu;Cível Seguros;SP;5503.96;ACORDO;;
Réu;Cível Seguros;SP;112638.21;ACORDO;55;32210.82
Réu;Cível Seguros;SP;4.61;ACORDO;;
Réu;Cível Seguros;SP;44676.07;ACORDO;;
Réu;Cível Seguros;SP;53.89;ACORDO;;
Réu;Cível Seguros;SP;3822549.28;ACORDO;26;
Réu;Cível Seguros;SP;179631.37;ACORDO;;
Réu;Cível Seguros;SP;105103.47;ACORDO;;
Réu;Cível Seguros;SP;73645.9;ACORDO;;
Réu;Cível Seguros;SP;32442.4;ACORDO;;
Réu;Cível Seguros;SP;107926.45;ACORDO;46;44023.59
Réu;Cível Seguros;SP;2.7;ACORDO;;
Réu;Cível Seguros;SP;6884.48;ACORDO;;
Réu;Cível Seguros;SP;1765135.72;ACORDO;19;5297614.8
Réu;Cível Seguros;SP;8015.39;ACORDO;10;12329.75
Réu;Cível Seguros;SP;14695.25;ACORDO;;
Réu;Cível Seguros;SP;17348.56;ACORDO;;
Réu;Cível Seguros;SP;6712.21;ACORDO;;
Réu;Cível Seguros;SP;2387.3;ACORDO;20;2431.9
Réu;Cível Seguros;SP;249041.67;ACORDO;;
Réu;Cível Seguros;SP;535.09;ACORDO;;
Réu;Cível Seguros;SP;167870.15;ACORDO;;
Réu;Cível Seguros;SP;7460.79;ACORDO;;
Réu;Cível Seguros;SP;442.3;ACORDO;;
Réu;Cível Seguros;SP;48818.05;ACORDO;42;2601.97
Réu;Cível Seguros;SP;2.62;ACORDO;;
Réu;Cível Seguros;SP;6729.25;ACORDO;;
Réu;Cível Seguros;SP;81846.22;ACORDO;4;142334.96
Réu;Cível Seguros;SP;972.62;ACORDO;;
Réu;Cível Seguros;SP;5494.04;ACORDO;;
Réu;Cível Seguros;SP;142179.28;ACORDO;22;116904.53
Réu;Cível Seguros;SP;784.13;ACORDO;;
Réu;Cível Seguros;SP;7336.36;ACORDO;;
Réu;Cível Seguros;SP;1297.53;ACORDO;;
Réu;Cível Seguros;SP;713.45;ACORDO;;
Réu;Cível Seguros;SP;12109.46;ACORDO;3;8828.54
Réu;Cível Seguros;SP;874828.4;ACORDO;5;291581.09
Réu;Cível Seguros;SP;51.9;ACORDO;27;
Réu;Cível Seguros;SP;375576.08;ACORDO;36;157183.31
Réu;Cível Seguros;SP;110768.12;ACORDO;32;28611.33
Réu;Cível Seguros;SP;5682.73;ACORDO;;
Réu;Cível Seguros;SP;3527.21;ACORDO;;
Réu;Cível Seguros;SP;2370.11;ACORDO;;
Réu;Cível Seguros;SP;276.34;ACORDO;;
Réu;Cível Seguros;SP;356.71;ACORDO;15;
Réu;Cível Seguros;SP;12425.21;ACORDO;;
Réu;Cível Seguros;SP;57920.53;ACORDO;74;16038.98
Réu;Cível Seguros;SP;1864.07;ACORDO;59;33519.84
Réu;Cível Seguros;SP;977415.29;ACORDO;0;7353568.22
Réu;Cível Seguros;SP;1350.22;ACORDO;;
Réu;Cível Seguros;SP;6.63;ACORDO;49;183465.63
Réu;Cível Seguros;SP;2.76;ACORDO;;
Réu;Cível Seguros;SP;5120.34;ACORDO;;
Réu;Cível Seguros;SP;141522.99;ACORDO;15;80621.04
Réu;Cível Seguros;SP;32132.72;ACORDO;;
Réu;Cível Seguros;SP;24043.04;ACORDO;25;14790.79
Réu;Cível Seguros;SP;53338.15;ACORDO;32;32077.06
Réu;Cível Seguros;SP;58830.06;ACORDO;56;49417.82
Réu;Cível Seguros;SP;745512.54;ACORDO;44;113252.88
Réu;Cível Seguros;SP;2350112.14;ACORDO;18;
Réu;Cível Seguros;SP;5467.29;ACORDO;10;14597.81
